City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
299,swan river,52.1058,-101.2676,264.09,67,88,2.57,CA,1675744793
300,vao,-22.6667,167.4833,299.31,68,18,5.5,NC,1675744794
301,praya,14.9215,-23.5087,293.45,56,75,12.35,CV,1675744794
302,along,28.1667,94.7667,293.11,49,95,1.65,IN,1675744794
303,quelimane,-17.8786,36.8883,298.12,94,75,1.54,MZ,1675744795
304,tiarei,-17.5333,-149.3333,302.16,77,23,6.29,PF,1675744795
305,westport,41.1415,-73.3579,275.25,60,0,2.57,US,1675744795
306,lenger,42.183,69.8839,273.84,67,6,1.65,KZ,1675744796
307,half moon bay,37.4636,-122.4286,284.99,69,0,4.63,US,1675744796
308,skjervoy,70.0311,20.9714,282.15,90,100,5.76,NO,1675744796
309,leshukonskoye,64.8989,45.7622,257.27,98,99,2.98,RU,1675744797
310,jieshi,22.8134,115.8257,294.81,77,12,4.57,CN,1675744797
311,maryborough,-25.5333,152.7,302.46,44,38,5.91,AU,1675744797
312,petropavlovsk-kamchatskiy,53.0452,158.6483,266.48,53,75,2.0,RU,1675744798
313,sakaiminato,35.55,133.2333,285.14,58,75,3.09,JP,1675744798
314,yar-sale,66.8333,70.8333,250.01,100,89,3.21,RU,1675744798
315,leningradskiy,69.3833,178.4167,242.68,97,100,4.1,RU,1675744799
316,ruteng,-8.6136,120.4721,292.95,84,98,0.91,ID,1675744799
317,puerto ayacucho,5.6639,-67.6236,299.41,67,87,0.66,VE,1675744799
318,semey,50.4111,80.2275,266.27,79,40,4.0,KZ,1675744800
319,kokstad,-30.5472,29.4241,290.18,79,94,1.86,ZA,1675744800
320,altay,47.8667,88.1167,265.71,89,82,0.43,CN,1675744800
321,abu dhabi,24.4667,54.3667,293.16,66,0,2.06,AE,1675744796
322,hoopstad,-27.8327,25.9083,294.23,51,100,3.76,ZA,1675744802
323,moron,-34.6534,-58.6198,299.24,84,37,3.91,AR,1675744808
324,coahuayana,18.7333,-103.6833,293.94,92,61,1.42,MX,1675744810
325,porbandar,21.6422,69.6093,293.14,83,2,1.54,IN,1675744814
326,kuching,1.55,110.3333,303.85,75,40,1.54,MY,1675744816
327,mayo,38.8876,-76.5119,277.67,76,0,2.06,US,1675744820
328,verkhoshizhemye,58.011,49.1038,249.66,100,100,0.95,RU,1675744823
329,aquiraz,-3.9014,-38.3911,299.2,84,100,3.0,BR,1675744555
330,bathsheba,13.2167,-59.5167,299.49,73,20,6.69,BB,1675744828
331,benidorm,38.5382,-0.131,283.65,79,98,7.66,ES,1675744832
